epoch,train_loss,train_acc,test_loss,test_acc
1,0.19705969502727191,94.20166666666667,0.053928092675656084,98.32
2,0.05532845088442167,98.31666666666666,0.04642024803720415,98.38
3,0.040339548748731614,98.7,0.036926378880627456,98.74
4,0.029596247209608555,99.115,0.04097849314883351,98.64
5,0.02330021270737052,99.245,0.03512900349535048,98.86
6,0.018571698579067986,99.39,0.040362113860738465,98.8
7,0.015049546126027902,99.52,0.02753211861535674,99.01
8,0.011915846837622424,99.63166666666666,0.034091823435691185,98.95
9,0.010495179888947557,99.63,0.03153211452743126,99.01
10,0.009780853775391975,99.68166666666667,0.03724509012231038,98.91
11,0.007425140308712919,99.73333333333333,0.03124106427524821,99.1
12,0.008304382076766342,99.685,0.043782136006375365,98.93
13,0.006409219859513299,99.77666666666667,0.04404023429716167,98.79
14,0.005340142594021745,99.795,0.05086460249658085,98.81
15,0.003721724980669872,99.88166666666666,0.04751005877681418,99.0
