epoch,train_loss,train_acc,test_loss,test_acc
1,0.33750691474278766,90.51,0.17643641849756242,94.97
2,0.14611429823239644,95.78833333333333,0.1156344177722931,96.62
3,0.09909315848151842,97.085,0.09973411839306355,96.87
4,0.07445797436237335,97.83833333333334,0.08318742511495948,97.47
5,0.05861935628056526,98.21666666666667,0.0744014730297029,97.69
6,0.04547320236365,98.70166666666667,0.07072014295142144,97.81
7,0.03772596295277278,98.91833333333334,0.06854705418236554,97.95
8,0.030052924528717995,99.18,0.06564441441455857,97.97
9,0.02465496483296156,99.305,0.06750307622598484,97.98
10,0.020181525518000124,99.48333333333333,0.0713936845201999,97.77
11,0.016489209898437062,99.59666666666666,0.06594269472281448,98.05
12,0.012785097897549471,99.71833333333333,0.06903582430280512,98.07
13,0.011262834006547928,99.75166666666667,0.07438613191093318,97.72
14,0.008905838589866957,99.82666666666667,0.06868522935486399,98.03
15,0.00836818205540379,99.81,0.06794011925545056,98.08
