epoch,train_loss,train_acc,test_loss,test_acc
1,0.6196416847626368,79.86,0.19515011968612672,93.91
2,0.238531063079834,92.34,0.1464367663860321,95.27
3,0.1843581677277883,94.29,0.11674484425783158,96.17
4,0.1552109350124995,95.00666666666666,0.11365446683764457,96.19
5,0.13704157053430874,95.68333333333334,0.11343412897884846,96.52
6,0.12242324748039246,96.11333333333333,0.09221863042116166,96.98
7,0.11289451798200607,96.37666666666667,0.08326188286542892,97.34
8,0.10202183148463567,96.73166666666667,0.07933579165190459,97.41
9,0.09683323835730552,96.92666666666666,0.07385787317454814,97.64
10,0.09009565888444583,97.08166666666666,0.07337916533648968,97.8
